"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000152583",997.444732611474,4.60255416844116,0.211741942798519,21.736620093359,9.24620377830525e-105,1.70268842577491e-100
"ENSG00000148175",11193.7231981539,1.45149341858215,0.0848957782211773,17.0973568885911,1.55288948886322e-65,1.42982299687081e-61
"ENSG00000179094",776.600164098613,3.18388226766929,0.201509405820524,15.8001670180351,3.10293396656836e-56,1.90468429981188e-52
"ENSG00000134686",2737.98162586977,1.38716794928781,0.0916586972985113,15.1340569981059,9.65548205239904e-52,4.44514254987321e-48
"ENSG00000125148",3656.26740037453,2.20346802972158,0.147419126734463,14.9469616224939,1.63019127568748e-50,6.00399446835699e-47
"ENSG00000120129",3409.03835490143,2.94901236347192,0.20154644344907,14.631924597653,1.75744508971823e-48,5.39389188786019e-45
"ENSG00000189221",2341.78067569054,3.30522682576948,0.228030723768931,14.4946556812175,1.3095740775889e-47,3.44511523411422e-44
"ENSG00000109906",385.071327676389,7.1761482399979,0.496359319060702,14.4575672590934,2.24596717632581e-47,5.16993569400498e-44
"ENSG00000178695",2649.82251474546,-2.49988338912015,0.178903480029372,-13.9733636747018,2.26663440176632e-44,4.63778583428075e-41
"ENSG00000101347",12703.4128252398,3.85774922840867,0.279324769326141,13.8109815241782,2.18829483522821e-43,4.02974493907275e-40
"ENSG00000162614",5393.11454093552,2.02995861370423,0.151706516379208,13.380826757831,7.82718579415514e-41,1.31034205817606e-37
"ENSG00000196517",229.638049919376,-2.21693944682639,0.166828412843757,-13.2887402633427,2.69070056885525e-40,4.12910424795579e-37
"ENSG00000096060",2564.38437504937,3.93843011349456,0.296906743376127,13.2648725613662,3.70049395156976e-40,5.24189200908901e-37
"ENSG00000162616",1467.63832301977,1.52097002292487,0.123443099781803,12.3212235079427,6.9629783498902e-35,9.15880330808772e-32
"ENSG00000116584",2250.58089102087,-1.01449245937753,0.0824250094755994,-12.308066032772,8.19637295005004e-35,1.00624138583448e-31
"ENSG00000166741",7432.96098233325,2.16221907760896,0.177514555462107,12.1805170960784,3.94770960408627e-34,4.54356702245304e-31
"ENSG00000183044",498.690254503353,1.15807021762944,0.0971414774849773,11.9214803769948,9.14686442299655e-33,9.90820637349891e-30
"ENSG00000144369",1303.26322729511,-1.35029416149156,0.116149008748714,-11.625533235612,3.05678680037956e-31,3.1272627182772e-28
"ENSG00000198624",2057.20440873193,2.89494634618677,0.25063879854862,11.5502721962864,7.35870081091918e-31,7.1321302859514e-28
"ENSG00000164125",5596.3514152391,1.12456092319911,0.098115335874481,11.4616223159829,2.05626587631887e-30,1.8933068056206e-27
"ENSG00000108821",100989.91598642,-1.29947119662481,0.115311208465957,-11.2692531273613,1.86142125244953e-29,1.63228916018372e-26
"ENSG00000135821",19611.251384513,3.00415908949786,0.268753893138093,11.1781044524414,5.21928702457297e-29,4.36878047988688e-26
"ENSG00000163884",561.111048261822,4.5821801298075,0.412315586439163,11.1132838061741,1.08109294001083e-28,8.65579412621713e-26
"ENSG00000162692",508.164810682556,-3.60933289378272,0.326428735683982,-11.0570317475877,2.0269467235071e-28,1.5552593297243e-25
"ENSG00000164647",1920.71084944799,1.55676199593365,0.141029484435722,11.0385569525583,2.48999882467285e-28,1.83413313425402e-25
"ENSG00000077684",1570.63392682279,1.20687887617152,0.109734438240452,10.998177924117,3.89931107407612e-28,2.76176205496584e-25
"ENSG00000139132",1223.46315207371,2.25393629282807,0.205574548056486,10.9640824418047,5.68745148391099e-28,3.87905255837855e-25
"ENSG00000114098",1010.29282888401,1.35688147443903,0.125664887297348,10.797618202039,3.53248142089724e-27,2.32323733449367e-24
"ENSG00000181467",630.869571252005,-1.27245233817659,0.118414311166196,-10.7457648120816,6.2045540744648e-27,3.93989183728515e-24
"ENSG00000123562",5040.48334406563,1.02831034258866,0.095951666958396,10.7169617286016,8.4741402672133e-27,5.20170976735776e-24
"ENSG00000165995",495.095686525811,3.30052288252565,0.30842631613859,10.7011714300104,1.00499572803794e-26,5.96999881671568e-24
"ENSG00000145777",152.370841552781,-2.78656114880229,0.261714256093184,-10.6473418391474,1.79415154933855e-26,1.03247814940842e-23
"ENSG00000116285",3232.63588079279,2.43984648745499,0.229362922623278,10.6374930156535,1.99422857019373e-26,1.1128399733369e-23
